sample,date,coords_west,coords_east,system_type,burn_history,burn_year,CH4_ppm,CO2_ppm,CN_filt_vol,temp_C,pressure_atm,DO_mg_L,cond_uS_cm,pH,ORP,TOC (mg/L),TN (mg/L),d18O (VSMOW),dD (VSMOW),a250,A254,a350,a375,S_275_295,S_R,SUVA,gas_vial,CN_filt_weight (g),Filter_C,Filter_N,a350 (decadic),PO4,NH4,NO3,TOC questionable run(mg/L),TN questionable run(mg/L)
UB_FP,2022-07-03,-163.257,61.255,Lake,unburned,,31.83506684,588.1283278,60,17.6,0.9992,2.44,25.2,7.0,164.0,10.13,0.3114,-9.1134956,-80.63133349999998,101.5623,42.8,29.82385,20.727,0.01358729,0.9296059,,,,,,,,,,,
15B_FP,2022-07-09,-163.22169,61.2721,Lake,burned,2015.0,21.28786709,1299.783372,60,20.6,0.994,9.56,25.3,7.42,138.3,14.35,0.5196,-8.9278276,-78.16917500000001,152.1515,64.13333,47.97917,33.31673,0.0117131,0.8231948,6.708508,,,,,,,,,,
UB_FP,2022-07-11,-163.257,61.255,Lake,unburned,,34.35433879,1989.143886,60,19.6,0.9958,21.18,60.1,7.37,108.6,10.73,0.3334,-8.612517733333336,-78.80323500000002,79.9141,33.75,24.6421,17.0422,0.01262953,0.89161,1.593484,,,,,,,,,,
15B_FP,2022-07-17,-163.22169,61.2721,Lake,burned,2015.0,37.34681982,1548.29583,60,15.0,0.9832,7.43,27.7,6.94,153.1,14.94,0.5153,-8.624244133333331,-76.9214355,151.0768,63.6,45.5994,31.43595,0.0121987,0.8119584,8.559892,,,,,,,,,,
UB_FP,2022-07-22,-163.257,61.255,Lake,unburned,,23.87804705,877.3614888,60,10.6,0.9924,10.67,,6.87,,10.28,0.3919,-8.8652868,-80.131526,103.5582,43.6,28.94103,19.65227,0.01373672,0.9855436,4.086223,,,,,,,,,,
15B_FP,2022-07-24,-163.22169,61.2721,Lake,burned,2015.0,33.37613426,985.2062427,60,11.9,0.9889,10.3,,6.6,,13.64,0.4253,-9.481574266666664,-81.3799125,125.0529,52.7,37.7692,25.5633,0.01206239,0.792169,5.116505,,,,,,,,,,
UB_FP,2022-08-15,-163.257,61.255,Lake,unburned,,15.97009234,1248.954207,60,11.7,0.9967,10.73,93.0,7.95,142.8,12.27,0.4523,-9.160726933333331,-80.7135025,118.9499,50.0,33.73895,23.2603,0.01297137,0.9409467,4.659832,,,,,,,,,,
15B_FP,2022-08-19,-163.22169,61.2721,Lake,burned,2015.0,23.75302074,1360.857485,60,10.8,0.9899,9.18,32.8,6.43,158.2,17.42,0.509,-10.980599066666667,-87.6318735,168.4644,70.85,47.4418,31.43595,0.01252917,0.7682747,7.717865,,,,,,,,,,
UB_FP,2022-08-22,-163.257,61.255,Lake,unburned,,22.75150622,4611.612906,120,13.6,0.9926,9.54,60.1,7.23,162.5,12.65,0.4225,-9.31387933333333,-81.67483493333333,121.8287,51.3,34.19955,23.4906,0.01346679,0.968712,5.377358,,,,,,,,,,
15B_FP,2022-08-27,-163.22169,61.2721,Lake,burned,2015.0,66.99500745,1548.747454,60,11.2,0.9646,8.55,27.9,6.11,113.1,19.48,0.6032,-11.055829066666664,-86.85489729999999,179.5188,75.45,52.2781,34.66015,0.01198738,0.7361776,8.824561,,,,,,,,,,
UB_FP,2022-08-28,-163.257,61.255,Lake,unburned,,19.50098523,1060.119332,61,11.9,0.9926,9.14,25.5,7.08,152.7,13.71,0.4864,-9.490155800000002,-81.06604276666667,125.3983,52.75,36.27225,24.8724,0.01285631,0.9499398,5.771335,,,,,,,,,,
15B_FP,2022-09-02,-163.22169,61.2721,Lake,burned,2015.0,34.71996331,4507.237888,60,10.6,0.9802,9.72,75.2,7.37,116.1,20.03,0.5126,-11.297152200000001,-87.16849793333336,177.2158,74.5,50.4357,33.27835,0.01229879,0.7570509,7.664609,,,,,,,,,,
UB_FP,2022-09-05,-163.257,61.255,Lake,unburned,,19.12003806,762.0111677,60,10.6,0.9954,7.46,73.6,7.6,136.7,13.83,0.4217,-9.702207933333332,-81.26402133333335,128.16195,53.9,35.0056,23.37545,0.01316634,0.9160471,7.225201,,,,,,,,,,
15B_FP,2022-09-08,-163.22169,61.2721,Lake,burned,2015.0,1585.118553,1527.76089,115,9.2,0.9839,9.54,380.9,7.53,140.2,20.47,0.5497,-11.296886133333334,-87.3219605,193.2217,81.2,54.46595,35.81165,0.01240575,0.7452742,8.51153,,,,,,,,,,
UBFP,2023-07-02,-163.257,61.255,Pond,unburned,,,,60,17.6,0.9955,8.55,21.5,7.12,82.8,10.57,0.361,-11.49,-92.43,98.91385,41.6,,12.8968,0.01447169,0.5341361,4.865497,,0.035,0.27,0.439,24.52695,4.829,0.042,0.033,10.83,0.5084
15BFP,2023-07-07,-163.22169,61.2721,Pond,burned,2015.0,,,60,14.4,0.9941,7.78,8.2,6.38,128.1,18.01,0.4859,-11.62,-92.92,171.3432,72.05,,27.1754,0.01301886,0.6543242,9.260925,,0.035,0.48,0.504,44.4479,8.278,0.022,0.017,16.03,0.5374
UBFP,2023-07-10,-163.257,61.255,Pond,unburned,,,,60,11.3,0.9901,9.81,8.5,7.24,66.9,11.21,0.2627,-11.55,-94.46,95.95833,40.26667,,12.05237,0.01418371,0.532644,4.709552,,0.035,0.419,0.43,22.03203,4.277,0.028,0.096,11.43,0.4446
15BFP,2023-07-15,-163.22169,61.2721,Pond,burned,2015.0,,,60,12.2,0.9963,9.09,8.7,6.13,111.8,20.34,0.406,-12.14,-92.61,195.9853,82.4,,32.242,0.01270032,0.6237861,9.064906,,0.038,0.367,0.394,52.2781,5.035,0.019,0.008,18.87,0.4288
UBFP,2023-07-17,-163.257,61.255,Pond,unburned,,,,60,13.0,0.992,9.36,8.1,7.22,74.0,11.96,0.3192,-11.54,-93.44,115.5338,48.53333,,16.42807,0.01366229,0.5753524,5.185185,,0.039,0.306,0.357,28.25013,7.666,0.027,0.054,11.39,0.32
15BFP,2023-07-20,-163.22169,61.2721,Pond,burned,2015.0,,,60,14.3,0.9946,8.6,18.2,7.07,36.6,,,,,,,,,,,,,,,,,,,,,
15BFP,2023-07-22,-163.22169,61.2721,Pond,burned,2015.0,,,60,14.7,0.9943,7.48,21.2,6.26,62.0,20.13,0.4197,-12.09,-92.69,194.0661,81.53333,,30.09253,0.01296827,0.6059935,10.90018,,0.037,0.401,0.494,49.89833,7.453,0.029,0.04,19.39,0.4626
UBFP,2023-07-23,-163.257,61.255,Pond,unburned,,,,60,14.6,0.9945,8.49,15.1,6.62,32.8,12.89,0.3231,-11.19,-91.76,124.9377,52.55,,18.76945,0.01357747,0.6077024,6.189635,,0.037,0.298,0.561,31.66625,6.994,0.029,0.072,12.16,0.4535
15BFP,2023-07-28,-163.22169,61.2721,Pond,burned,2015.0,,,60,13.7,0.9986,8.64,20.5,7.87,29.6,20.85,0.3977,-12.11,-92.62,195.9853,82.35,,29.82385,0.01309912,0.6094748,9.53125,,0.034,0.403,0.435,49.7448,6.591,0.028,0.013,19.81,0.4816
UBFP,2023-07-30,-163.257,61.255,Pond,unburned,,,,60,14.5,1.0081,8.69,20.2,7.02,66.8,13.25,0.2812,-11.18,-90.49,124.9377,53.0,,18.76945,0.01314794,0.6201783,6.047181,,0.035,0.372,0.491,31.66625,6.299,0.03,0.064,12.85,0.45
15BFP,2023-09-13,-163.22169,61.2721,Pond,burned,2015.0,,,60,8.0,0.9917,9.57,21.8,5.45,137.9,26.5,0.01134,-11.91,-90.75,239.9726,100.95,,38.11465,0.01266132,0.6359991,10.54859,,0.037,0.396,0.344,61.4901,7.218,0.028,0.01,,
UBFP,2023-09-13,-163.257,61.255,Pond,unburned,,,,60,9.1,0.9899,10.8,18.8,6.31,138.6,15.03,0.3186,-11.1023388,-88.180538,143.8224,60.5,,22.1088,0.01330457,0.6708975,5.601852,,0.037,0.313,0.34,35.0056,11.111,0.036,0.04,,
