pond,datetime,CO2_meas_ppm_mean,CO2_meas_ppm_std,WaterTemp_meas_degC_mean,WaterTemp_meas_degC_std,co2_depth,temp_depth,CO2_umol_L,CO2_umol_L_std,year
burned,2022-06-24,1268.18548125,641.4263888812321,,,1.0,1.0,,,2022
burned,2022-06-25,1183.2616,136.95585990192373,,,1.0,1.0,,,2022
burned,2022-06-26,874.4381291666667,120.87106633358137,,,1.0,1.0,,,2022
burned,2022-06-27,841.68739375,49.184830385668505,,,1.0,1.0,,,2022
burned,2022-06-28,999.6261020833334,89.33691181470688,,,1.0,1.0,,,2022
burned,2022-06-29,1193.8271458333334,78.56639012095349,,,1.0,1.0,,,2022
burned,2022-06-30,1380.7436041666667,108.19370893217199,,,1.0,1.0,,,2022
burned,2022-07-01,1352.4054583333334,176.6692419691545,14.214714285714285,0.8292078708753859,1.0,1.0,34.35942491636034,2.984650983124609,2022
burned,2022-07-02,1349.4739791666668,80.1062716671038,15.025875,2.75945985791546,1.0,1.0,35.10048756376239,1.4388451557130904,2022
burned,2022-07-03,1478.6712916666665,69.67708960045414,14.427104166666666,1.8407022970500275,1.0,1.0,37.799792934098846,1.2156708846663775,2022
burned,2022-07-04,1889.0644583333333,174.99680038180855,11.425479166666667,1.3139598262841405,1.0,1.0,44.2216473612806,3.0024918180894367,2022
burned,2022-07-05,1939.6607916666665,76.80312568217127,12.423104166666667,1.9040635855597385,1.0,1.0,46.763731366497225,1.3426970900214217,2022
burned,2022-07-06,1900.7957708333333,139.84695680594044,11.953458333333332,1.0733655750961169,1.0,1.0,45.19667119715977,2.3810737753677214,2022
burned,2022-07-07,1754.3121041666666,95.61784264661686,13.9194375,4.024584180483477,1.0,1.0,44.189085092678525,1.7870196138148284,2022
burned,2022-07-08,1668.1838541666666,117.70566058551272,15.488479166666666,3.2073458039225704,1.0,1.0,43.97333592601029,2.1442101168248766,2022
burned,2022-07-09,1701.8728541666667,235.69284923571755,18.7595,4.437890058373771,1.0,1.0,49.24218537644824,4.462064258954751,2022
burned,2022-07-10,1605.6459583333333,238.30591402300246,20.041958333333334,1.9497032066372644,1.0,1.0,48.15911192562722,4.172176308698419,2022
burned,2022-07-11,1532.2838958333334,166.26780869790053,20.399145833333332,1.0915840137759472,1.0,1.0,46.41877142823272,2.8325690735841307,2022
burned,2022-07-12,1733.1662916666667,154.6966958223048,19.744520833333333,1.153530159702804,1.0,1.0,51.55356948391513,2.6406551278600867,2022
burned,2022-07-13,1701.2228750000002,184.49144042839953,18.614083333333333,0.833270838791411,1.0,1.0,49.02208644982299,3.1172041418190064,2022
burned,2022-07-14,1907.6107916666667,183.15486540141657,17.218729166666666,0.3791817472256246,1.0,1.0,52.83883008074238,3.049944705987274,2022
burned,2022-07-15,1685.027,356.9162269766909,17.031145833333333,1.612335190186636,1.0,1.0,46.42477894373544,6.182184934567474,2022
burned,2022-07-16,1639.351375,255.60717609849686,17.565375,0.9415958527946041,1.0,1.0,45.858058945232244,4.333767108571174,2022
burned,2022-07-17,1687.911875,187.5987990897034,15.391458333333333,0.5368654476358554,1.0,1.0,44.36914364556514,3.139778533212672,2022
burned,2022-07-18,1376.5154791666666,249.6963636923675,13.965916666666667,0.9743558883504128,1.0,1.0,34.71978462641133,4.237982953910029,2022
burned,2022-07-19,1379.1669375,266.00109246267493,13.509208333333333,0.4174679989434443,1.0,1.0,34.32645748677137,4.434965284091063,2022
burned,2022-07-20,1076.9083354166667,158.06181262068037,11.548791666666666,0.6955794755005278,1.0,1.0,25.30190981721038,2.6589071273587903,2022
burned,2022-07-21,1028.6295104166668,40.63681513618981,11.026729166666668,0.8346461790708632,1.0,1.0,23.796207384309312,0.6866379182253901,2022
burned,2022-07-22,1142.6797708333334,36.69897293898228,10.855916666666667,0.31805986545646436,1.0,1.0,26.30070172702337,0.6099240034558738,2022
burned,2022-07-23,1236.8209166666668,53.734106724917474,11.595208333333334,1.4002458744325044,1.0,1.0,29.09900803119798,0.9244752228513177,2022
burned,2022-07-24,1416.5244791666667,114.37859199819214,12.050958333333334,0.4748902654133875,1.0,1.0,33.77885267581726,1.9105179359677167,2022
burned,2022-07-25,1353.0514166666667,217.83726829485187,11.459145833333332,0.18256796922386115,1.0,1.0,31.70557990843429,3.604662877576757,2022
burned,2022-07-26,1115.7189375,57.20745551672551,10.896916666666668,0.7934968884984605,1.0,1.0,25.711495654877304,0.965360025148039,2022
burned,2022-07-27,1154.8098979166666,336.0058095610934,11.984895833333333,0.8764122278778149,1.0,1.0,27.484292990188717,5.685055848586357,2022
burned,2022-07-28,1458.2653958333333,98.91474324047627,14.223979166666666,1.7178612195894936,1.0,1.0,37.05889616795726,1.7190681923737356,2022
burned,2022-07-29,1527.1115208333333,109.02590508291367,15.282333333333334,1.2463485789063367,1.0,1.0,40.01615430542962,1.8665760730504632,2022
burned,2022-07-30,1623.6608979166667,683.8992302309342,15.767645833333333,0.3574981320935195,1.0,1.0,43.144960099924795,11.380557000687048,2022
burned,2022-07-31,2385.022770833333,100.85738613892475,15.13275,0.4853398239180959,1.0,1.0,62.22745809284238,1.6852314258305492,2022
burned,2022-08-01,2147.1480208333332,353.84286227450787,15.373895833333334,1.2375447421885157,1.0,1.0,56.41224454945371,6.056260611817094,2022
burned,2022-08-02,2096.7571041666665,250.31529082018363,15.063145833333332,0.3553556797508734,1.0,1.0,54.596460132167216,4.1651335527465845,2022
burned,2022-08-03,2309.8892708333333,256.77760844537244,15.114270833333334,0.7238917498591808,1.0,1.0,60.23500029876596,4.323414073085535,2022
burned,2022-08-04,1702.3031458333335,357.70529043137657,13.799041666666668,0.6070906188564816,1.0,1.0,42.728893551085314,6.000276557915888,2022
burned,2022-08-05,1348.5361249999999,84.82528473721742,12.2511875,0.20922223308996,1.0,1.0,32.34799625451796,1.4048489190337337,2022
burned,2022-08-06,1089.3315666666667,189.3072754249358,12.145958333333333,1.297566412162256,1.0,1.0,26.049407440910024,3.2463264415099338,2022
burned,2022-08-07,1255.0018333333335,84.22814900255834,12.2485,0.5347725306842793,1.0,1.0,30.101959637977288,1.4096039083019725,2022
burned,2022-08-08,1170.7677958333334,287.16106409543346,11.540520833333334,0.7384179750925063,1.0,1.0,27.500397473888214,4.837233857830657,2022
burned,2022-08-09,1717.5662083333334,252.13306003808464,12.488229166666665,1.3853918293512961,1.0,1.0,41.4886231551024,4.3358038615311125,2022
burned,2022-08-10,1820.4557916666665,228.44975940520527,13.986312499999999,1.985013544690912,1.0,1.0,45.94454177324039,4.004098839976536,2022
burned,2022-08-11,1989.0433333333333,323.2915411790557,14.772729166666666,1.5263590071492588,1.0,1.0,51.35855991582391,5.584478787943023,2022
burned,2022-08-12,2000.8251874999999,527.6796781153313,14.785499999999999,0.7394537949687037,1.0,1.0,51.681879738093,8.889069287732632,2022
burned,2022-08-13,1892.2655416666666,755.2482941824416,13.965791666666668,0.3261883647385052,1.0,1.0,47.72835029092734,12.555235262835737,2022
burned,2022-08-14,2064.8044791666666,388.8512762835704,12.846625000000001,0.4773329996482451,1.0,1.0,50.404261858176106,6.4956693217563135,2022
burned,2022-08-15,1428.455325,565.8248313435718,11.687479166666668,0.3238238941930554,1.0,1.0,33.699527508577155,9.405549030082526,2022
burned,2022-08-16,2043.6974545454543,110.84478846509977,11.536818181818182,0.126133911524077,1.0,1.0,47.9995526051483,1.8308816122404474,2022
burned,2023-07-07,24164.328421052633,36.16606854546209,18.32779894736842,0.31230218083514216,1.0,1.0,690.7112495085379,0.6009562651667365,2023
burned,2023-07-08,8135.689125,9777.841837491695,17.11700625,0.6180545313565117,1.0,1.0,224.6983109411631,164.07461449122266,2023
burned,2023-07-09,1786.6317083333333,123.75752789894351,15.302192708333335,0.2799580460798533,1.0,1.0,46.843402073912365,2.0542927131914737,2023
burned,2023-07-10,2442.717,203.25007837155326,15.449148125,0.5522610582025945,1.0,1.0,64.3171101509632,3.403407124926518,2023
burned,2023-07-11,2600.8445833333335,117.70119775233101,17.387217916666668,1.5288425859870227,1.0,1.0,72.38682162041074,2.03330953346731,2023
burned,2023-07-12,3110.26975,536.1664343430974,18.440163333333334,0.6798421269531195,1.0,1.0,89.1862380944811,9.01482055427518,2023
burned,2023-07-13,3729.872020833333,854.894800304107,17.286138333333334,0.7723937007861897,1.0,1.0,103.51194891500353,14.416380240749483,2023
burned,2023-07-14,2704.0911875,103.22267903218278,16.917295624999998,0.5922681141025383,1.0,1.0,74.25992399688782,1.7306724023343967,2023
burned,2023-07-15,2605.568729166667,80.93741067646144,17.235063541666666,0.24028712584039275,1.0,1.0,72.20509994302994,1.3417971403667668,2023
burned,2023-07-16,2804.4464583333333,137.47158564837713,16.87592104166667,0.8812719426964601,1.0,1.0,76.92503506350207,2.3263140623778207,2023
burned,2023-07-17,3763.4508124999998,1045.578732936803,18.853767916666666,1.9516384393010053,1.0,1.0,109.1815282897086,18.30674897162115,2023
burned,2023-07-18,8377.072354166667,1917.5197799006935,20.223789166666666,0.5253787104103864,1.0,1.0,252.53659903260427,32.08107910821213,2023
burned,2023-07-19,11492.544270833334,2846.520789524238,20.850464166666665,0.48742302034372076,1.0,1.0,352.55043708049226,47.56584312829099,2023
burned,2023-07-20,7865.211145833334,2955.802557105721,20.302513333333334,0.4439592823304584,1.0,1.0,237.6268768489073,49.32318817389393,2023
burned,2023-07-21,4906.390145833334,452.30211131668665,19.507340833333334,0.4010273450793857,1.0,1.0,144.97614084623345,7.537137389683225,2023
burned,2023-07-22,4195.137125,198.30946706692285,19.780467708333333,0.5007067563815426,1.0,1.0,124.91119562706997,3.3151958458937623,2023
burned,2023-07-23,3552.8091666666664,174.90156792702953,18.769912083333335,0.3570729749776601,1.0,1.0,102.82753972156078,2.9104435637006487,2023
burned,2023-07-24,4090.3484583333334,234.94904989234865,19.18476958333333,0.5793264372361001,1.0,1.0,119.77463732941115,3.937616480798486,2023
burned,2023-07-25,3451.2546041666665,274.6516062280505,18.627924166666666,0.3994202500584283,1.0,1.0,99.48945213081961,4.576543289778245,2023
burned,2023-07-26,3067.325645833333,94.06238514569716,18.409529166666665,0.3046750169343938,1.0,1.0,87.8787955015114,1.5626123150245204,2023
burned,2023-07-27,2999.655,154.56126678647007,18.475198958333333,0.3581393012783811,1.0,1.0,86.09948268175827,2.5720594682842,2023
burned,2023-07-28,3532.4913541666665,327.48789955170395,18.965885,0.4915813837731635,1.0,1.0,102.80495382894226,5.473107535214713,2023
burned,2023-07-29,4138.700770833333,284.82652143860963,18.72876125,0.4949052383725777,1.0,1.0,119.64600394263597,4.760640818731085,2023
burned,2023-07-30,5029.822729166667,189.3064610406461,19.111018125,0.43402893759619177,1.0,1.0,146.97974883610902,3.1579327419300944,2023
burned,2023-07-31,6653.812895833334,1083.036456656268,19.970623749999998,0.8996135742063218,1.0,1.0,199.1746680727531,18.338045589130573,2023
burned,2023-08-01,11707.411875,1754.3311989270899,21.554895625,1.0375243888195351,1.0,1.0,366.2184108459817,29.83558570972961,2023
burned,2023-08-02,10687.124937499999,2900.614853174626,22.555994791666667,0.592326940029798,1.0,1.0,343.6479635646733,48.63295141442938,2023
burned,2023-08-03,8925.074166666667,3570.125987204546,21.803784375000003,0.6871004802665901,1.0,1.0,281.10950280439494,60.040168046982124,2023
burned,2023-08-04,4049.3415208333336,851.3585105121381,19.951832291666665,0.3284432140059416,1.0,1.0,121.14903168068089,14.153994040381505,2023
burned,2023-08-05,1974.5659374999998,338.2497311090377,17.946791875,0.57927322390255,1.0,1.0,55.835834495531905,5.668869256012253,2023
burned,2023-08-06,1972.1100833333333,122.78796854270348,17.623525,0.606996243936642,1.0,1.0,55.257569415810096,2.0596831029320195,2023
burned,2023-08-07,2333.0345625,117.52969625912387,17.382891666666666,0.2602741715905795,1.0,1.0,64.9251345980504,1.9496824177508258,2023
burned,2023-08-08,2389.9313125,103.26826915743607,16.83336458333333,0.39649525451244133,1.0,1.0,65.47545963760614,1.7206066079371294,2023
burned,2023-08-09,3101.9072083333335,548.1000053677487,17.562578958333333,0.5901655828888651,1.0,1.0,86.76367477188406,9.189043401536447,2023
burned,2023-08-10,4201.890229166666,438.05126536519975,17.97605520833333,0.8610474535023835,1.0,1.0,118.91755977852611,7.407976615303593,2023
burned,2023-08-11,3857.5662916666665,528.5252453457099,19.740469375,1.2926569686657103,1.0,1.0,114.73150200621514,9.061971290945275,2023
burned,2023-08-12,4449.8097708333335,921.3964076285619,19.649530625,0.5443820792906316,1.0,1.0,132.0095817435606,15.424818721034447,2023
burned,2023-08-13,5109.620166666667,582.108485077815,18.85529375,0.48358840434343175,1.0,1.0,148.2416342187007,9.725935604199902,2023
burned,2023-08-14,5083.507479166667,469.06874794771113,17.64063979166667,0.5663273782572984,1.0,1.0,142.50662887987176,7.858060776760223,2023
burned,2023-08-15,4581.051458333333,312.9786048616535,18.354062708333334,0.8949814720149002,1.0,1.0,131.0415896084414,5.298590244650465,2023
burned,2023-08-16,4126.025729166667,222.97164161073218,17.616465,0.41307158417799433,1.0,1.0,115.58607585513177,3.7170226244945233,2023
burned,2023-08-17,3571.643770833333,398.1230321406987,17.11499125,0.42216434785330537,1.0,1.0,98.63900249316964,6.638798904825669,2023
burned,2023-08-18,2997.1279166666664,139.5729928037863,17.24844625,0.5469951575017075,1.0,1.0,83.08756518654387,2.336744902896762,2023
burned,2023-08-19,2747.756479166667,272.25792312203305,17.017770833333334,0.2677975641669619,1.0,1.0,75.67556201253417,4.517536673013218,2023
burned,2023-08-20,2204.2773541666666,90.1560108810181,16.819192291666667,0.3236183343321465,1.0,1.0,60.3647908340133,1.498628444828835,2023
burned,2023-08-21,2247.326416666667,146.4958135499186,16.791005625,0.25166215361333777,1.0,1.0,61.49420253467638,2.4295251074685247,2023
burned,2023-08-22,2815.689895833333,452.89299214669296,17.190303333333333,0.49804308153964383,1.0,1.0,77.9285875245631,7.570494830131674,2023
burned,2023-08-23,3457.9558125000003,556.3778333927729,18.317857083333333,0.7294749654635992,1.0,1.0,98.8141786348437,9.369514438720083,2023
burned,2023-08-24,3585.8038333333334,442.1513859311341,18.588512708333333,0.253560446993893,1.0,1.0,103.25331043757768,7.333201832149705,2023
burned,2023-08-25,2578.1090625,249.42497199165632,17.777846666666665,0.3455732473782471,1.0,1.0,72.55433207035502,4.149016616256656,2023
burned,2023-08-26,2770.002,80.32302618801155,17.966356666666666,0.41474163880012144,1.0,1.0,78.37220980539752,1.3390873130308079,2023
burned,2023-08-27,3129.2041041666666,129.50576876894607,16.837018958333335,0.4402606816529628,1.0,1.0,85.73779761370453,2.1607938370604893,2023
burned,2023-08-28,3183.3937291666666,176.56200145554817,16.182703749999998,0.37237678473142677,1.0,1.0,85.6052425513784,2.939516792883484,2023
burned,2023-08-29,3221.9119166666665,140.27098775324018,15.198233333333334,0.27582870075259697,1.0,1.0,84.2217543581658,2.328096542942456,2023
burned,2023-08-30,3481.4001041666666,334.9318816368133,14.630992916666665,0.4225309174786574,1.0,1.0,89.5240217138816,5.585136672492858,2023
burned,2023-08-31,3394.5893125000002,490.62137582870264,15.234579166666668,0.6452002499796162,1.0,1.0,88.8287265434932,8.239907295233968,2023
burned,2023-09-01,3079.8552916666667,175.0274062314982,15.193273125,0.2858598483795142,1.0,1.0,80.49682470512914,2.9058890874627727,2023
burned,2023-09-02,2489.8207916666665,403.185305671688,14.875333541666668,0.17520209762041805,1.0,1.0,64.4801859907912,6.670131584965505,2023
burned,2023-09-03,2136.98275,73.09411741516642,14.713150833333332,0.30323540660774934,1.0,1.0,55.08335291523607,1.2142206532014652,2023
burned,2023-09-04,2512.6152708333334,131.5183453770319,14.385794166666665,0.44256782625670904,1.0,1.0,64.1538987324464,2.194535857033539,2023
burned,2023-09-05,2074.1877083333334,106.29347182491468,15.050083958333333,0.4433053607757404,1.0,1.0,53.98840697989788,1.7736715801679679,2023
burned,2023-09-06,2217.3132499999997,76.15848877442512,14.217326875,0.39057001728328394,1.0,1.0,56.33768529121449,1.268675254893887,2023
burned,2023-09-07,2212.5715833333334,89.27661429126924,13.147918124999999,0.2902723509062908,1.0,1.0,54.49052745199721,1.4824231938811643,2023
burned,2023-09-08,2601.0852083333334,594.6148135517558,12.956819791666668,0.8761715190203954,1.0,1.0,63.7010488139431,10.060517766080256,2023
burned,2023-09-09,3952.739020833333,1131.1993444577859,14.114685,0.6205927974054251,1.0,1.0,100.13227921312708,18.983348835082726,2023
burned,2023-09-10,3738.4500000000003,482.0451218158609,13.891669791666667,0.6118270492635919,1.0,1.0,94.09108720505111,8.087223953808664,2023
burned,2023-09-11,3908.5712777777776,399.5895253500315,13.189296666666667,0.48004118985175176,1.0,1.0,96.37576130195858,6.675628735255892,2023
burned,2024-07-07,2274.670882352941,361.3180843987889,12.674639632613571,1.4669379110412033,1.0,1.0,55.247668504529585,6.229553487903181,2024
burned,2024-07-08,3814.5689166666666,1934.2315991692856,13.671621890597873,0.7874232979472975,1.0,1.0,95.39300662076333,32.63328508617835,2024
burned,2024-07-09,2144.7231875,135.3760768391829,12.62072844893844,0.26253792976750523,1.0,1.0,52.0090215910474,2.2458965587120656,2024
burned,2024-07-10,2667.4700625,320.8163452145568,12.920909502947772,0.4852923274817309,1.0,1.0,65.25807301954741,5.360529203561519,2024
burned,2024-07-11,2296.977895833333,165.63745138618958,13.05833738538954,0.3203767669219941,1.0,1.0,56.421029902512664,2.753040788996136,2024
burned,2024-07-12,2071.8441666666668,88.07179924703445,12.756946315058954,0.3308990251959747,1.0,1.0,50.443158611563156,1.4643254826791305,2024
burned,2024-07-13,2766.3214583333333,658.6122111371582,12.517653153030961,0.6974650843066049,1.0,1.0,66.87965673660572,11.079807030661499,2024
burned,2024-07-14,2750.929083333333,481.4657396127413,10.724718254937066,1.0458187933156387,1.0,1.0,63.07046301376451,8.190367013966709,2024
burned,2024-07-15,2891.7498333333333,402.63087192953475,8.59384501139323,0.4412531348313392,1.0,1.0,62.19243927168218,6.718079047931764,2024
burned,2024-07-16,4400.6255,540.683368945145,8.686335420961733,0.6062009325237772,1.0,1.0,94.90855133468104,9.069357926055744,2024
burned,2024-07-17,4299.319395833333,452.6004897292294,10.760778141728155,2.9091353403684144,1.0,1.0,98.676260710278,8.167906988851593,2024
burned,2024-07-18,4405.860833333333,343.58143592305845,10.434926831280745,1.3064823796670342,1.0,1.0,100.1440905883682,5.893563275406871,2024
burned,2024-07-19,5184.743104166667,368.54413058741767,11.027427040382667,1.3039263325181822,1.0,1.0,119.94579172493621,6.321241612554957,2024
burned,2024-07-20,6142.221208333333,682.3412472178786,11.616100842511214,1.765326567113824,1.0,1.0,144.59902893236378,11.876498334609602,2024
burned,2024-07-21,8234.359,1270.60483094344,13.865194125705296,4.802112859206144,1.0,1.0,207.08648080434534,24.328773933465826,2024
burned,2024-07-22,11030.397583333333,768.5798352451644,13.528860592312284,0.9054380387969513,1.0,1.0,274.6961495934738,13.016067443626492,2024
burned,2024-07-23,14275.184791666667,746.4094074427954,14.234005296495226,1.3622693206503824,1.0,1.0,362.88096295608733,12.826174479284465,2024
burned,2024-07-24,14400.627291666666,1234.397014634804,14.988719380696615,1.386907812722296,1.0,1.0,374.16541505142305,21.228321710782105,2024
burned,2024-07-25,7216.3820000000005,832.8364030245386,15.602641562002677,0.8698802343106502,1.0,1.0,190.85024396897794,14.088247678557824,2024
burned,2024-07-26,5691.822625,453.55579818611017,14.22202328858138,0.449186918546584,1.0,1.0,144.6380576561322,7.569709882871279,2024
burned,2024-07-27,5100.363791666667,377.03440004029164,13.400289351851852,0.23489606602321692,1.0,1.0,126.54098929231638,6.2494723394722165,2024
burned,2024-07-28,5350.74,769.466381604119,13.726377314814815,0.27856851635254914,1.0,1.0,134.0227519408992,12.772060825288682,2024
burned,2024-07-29,4071.8743125,256.3436367678514,12.8959375,0.6956211664499649,1.0,1.0,99.54305687045157,4.31220432677864,2024
burned,2024-07-30,3357.1717083333333,106.6139681798874,12.405057870370369,0.4552510635135548,1.0,1.0,80.89585366656303,1.7797010453739444,2024
burned,2024-07-31,3477.9656250000003,112.06456984287728,11.840613425925927,0.22392727383651884,1.0,1.0,82.42305194512505,1.8568538670327017,2024
burned,2024-08-01,3362.0440833333337,139.090674622147,11.38474537037037,0.1780255556715636,1.0,1.0,78.60808166043408,2.301267541497187,2024
burned,2024-08-02,2952.2450833333332,279.3370453578027,10.941053240740741,0.17916550978574547,1.0,1.0,68.12319966944422,4.621825429737527,2024
burned,2024-08-03,2236.5117916666663,151.81177354462406,11.214340277777778,1.2221366014032042,1.0,1.0,52.02832195078499,2.5970854854545307,2024
burned,2024-08-04,2419.0514583333334,136.50590732895213,13.04988425925926,0.597158963626944,1.0,1.0,59.404827316003264,2.2890707500807643,2024
burned,2024-08-05,2940.123229166667,172.6452332946724,13.501631944444444,0.2908169636125713,1.0,1.0,73.16132784676114,2.86679523256105,2024
burned,2024-08-06,3445.8414374999998,130.475644430399,13.135358796296297,0.4462519186960616,1.0,1.0,84.83191210372175,2.177394365491974,2024
burned,2024-08-07,4115.3698125,410.49204880068163,13.407731481481482,0.6622229442794406,1.0,1.0,102.12531426555395,6.897906129606535,2024
burned,2024-08-08,4515.752208333333,192.44706154635915,13.078506944444444,0.3149893300595609,1.0,1.0,110.98669530596031,3.1980872173715627,2024
burned,2024-08-09,4211.722291666667,201.02287785076157,12.144652777777777,0.24211432479862216,1.0,1.0,100.71189518265973,3.3327943958763417,2024
burned,2024-08-10,3117.415645833333,243.6546645723222,11.23403935185185,0.366687913980815,1.0,1.0,72.56333530932841,4.055777989894791,2024
burned,2024-08-11,3144.202729166667,75.1012338275107,9.912245370370371,0.3049020965932033,1.0,1.0,70.35877235338661,1.2476290918022332,2024
burned,2024-08-12,3383.871333333333,291.45862922032813,9.85400462962963,0.3248619351654567,1.0,1.0,75.58989911758536,4.84499724023013,2024
burned,2024-08-13,3848.7693541666667,139.92941587518246,10.072835648148148,0.4622138683499854,1.0,1.0,86.54011621429377,2.336355428126041,2024
burned,2024-08-14,3818.1093333333333,144.09932602191998,10.699502314814815,0.41584894250701937,1.0,1.0,87.47194954289895,2.4024048983394057,2024
burned,2024-08-15,3205.9583125000004,441.56662201992975,10.702256944444445,0.31045904590935014,1.0,1.0,73.45374645417462,7.336891793062789,2024
burned,2024-08-16,2675.1808125000002,176.51547157114962,10.270798611111111,0.31618589688436133,1.0,1.0,60.50889755451474,2.9334485391225757,2024
burned,2024-08-17,2858.953208333333,84.89581946952661,10.876886574074073,0.5074457484137134,1.0,1.0,65.84469714792131,1.419534145117868,2024
burned,2024-08-18,2432.338458333333,276.40311431836614,10.582962962962963,0.2850887012356107,1.0,1.0,55.531091894590276,4.588863705099853,2024
burned,2024-08-19,2660.9995,269.7845723464749,9.73025462962963,0.36790242544497775,1.0,1.0,59.2220629912916,4.490900944476056,2024
burned,2024-08-20,3081.9187500000003,110.59046451324495,9.925497685185185,0.3393402125189606,1.0,1.0,68.9924050006141,1.8392301064934988,2024
burned,2024-08-21,2699.0591458333333,198.20838041260228,9.999803240740741,0.13810699393570952,1.0,1.0,60.55622170673589,3.2751718907135454,2024
burned,2024-08-22,2570.6704583333335,83.99235230990647,9.58011574074074,0.1355380181917549,1.0,1.0,56.954558762773864,1.3877651498796526,2024
burned,2024-08-23,2792.703916666667,87.63345686821746,9.688368055555555,0.5301452597878004,1.0,1.0,62.075176613149175,1.4663761583316073,2024
burned,2024-08-24,3123.1493333333333,104.40437422183275,10.339328703703703,0.5083203552894195,1.0,1.0,70.78608018182578,1.745783586890774,2024
burned,2024-08-25,3549.8177083333335,230.67505555475586,10.500243055555556,0.2881194248301668,1.0,1.0,80.84384377529531,3.830055884344544,2024
burned,2024-08-26,3024.2405416666666,452.1865404904976,9.733009259259259,0.3142519966703013,1.0,1.0,67.31176055051513,7.514262695070777,2024
burned,2024-08-27,2881.44475,298.4796564069104,9.989664351851852,0.5303454379004137,1.0,1.0,64.62861502129496,4.994510942873869,2024
burned,2024-08-28,3873.4384791666666,256.187308808189,10.708344907407408,0.3829920221261439,1.0,1.0,88.76290299825524,4.266622295000865,2024
